hydrogen_bond_participant_id,covalent_atom_id
1,CA
2,N
2,CB
2,C
3,CA
4,CA
5,C
6,C
7,C
8,CA
8,CG
9,CB
9,CD
10,CG
10,NE
11,CD
11,CZ
12,CD
12,CZ
13,CZ
14,CZ
15,CZ
16,CZ
17,N
17,CB
17,C
18,CA
19,CA
20,C
21,C
22,C
23,CA
23,CG
24,CG
25,CG
26,CG
27,N
27,CB
27,C
28,CA
29,CA
30,C
31,C
32,C
33,CA
33,CG
34,CG
35,CG
36,CG
37,N
37,CB
37,C
38,CA
39,CA
40,C
41,C
42,C
43,CA
43,SG
44,CB
45,CB
46,N
46,CB
46,C
47,CA
48,CA
49,C
50,C
51,C
52,CA
52,CG
53,CB
53,CD
54,CD
55,CD
56,CD
57,N
57,CB
57,C
58,CA
59,CA
60,C
61,C
62,C
63,CA
63,CG
64,CB
64,CD
65,CD
66,CD
67,CD
68,N
68,CB
68,C
69,CA
70,CA
71,C
72,C
73,C
74,CA
75,CA
76,N
77,C
78,C
79,C
80,CA
80,CG
81,CG
82,CG
83,ND1
83,NE2
84,ND1
84,NE2
85,CD2
85,CE1
86,CD2
86,CE1
87,NE2
87,CG
88,NE2
88,CG
89,CB
89,C
89,N
90,CA
91,CA
92,C
93,C
94,C
95,CA
95,CG1
95,CG2
96,CB
96,CD1
97,CB
98,CG1
99,CB
99,N
99,C
100,CA
101,CA
102,C
103,C
104,C
105,CA
105,CG
106,CB
106,CD2
106,CD1
107,CG
108,CG
109,CB
109,N
109,C
110,CA
111,CA
112,C
113,C
114,C
115,CA
115,CG
116,CB
116,CD
117,CG
117,CE
118,CD
118,NZ
119,CE
120,CE
121,CB
121,N
121,C
122,CA
123,CA
124,C
125,C
126,C
127,CA
127,CG
128,CB
128,SD
129,CG
129,CE
130,SD
131,CB
131,N
131,C
132,CA
133,CA
134,C
135,C
136,C
137,CA
137,CG
138,CG
138,CE1
139,CG
139,CE1
140,CG
140,CE2
141,CG
141,CE2
142,CZ
142,CD1
143,CZ
143,CD1
144,CZ
144,CD2
145,CZ
145,CD2
146,CE1
146,CE2
147,CE1
147,CE2
148,CB
148,N
148,C
149,CA
150,CA
151,C
152,C
153,C
154,CB
154,C
154,N
155,CA
155,CG
156,CB
156,CD
157,CG
157,N
158,CA
158,CD
159,CA
159,CD
160,C
161,C
162,C
163,CA
163,OG
164,CB
165,CB
166,CB
166,C
166,N
167,CA
168,CA
169,C
170,C
171,C
172,OG1
172,CA
172,CG2
173,CB
174,CB
175,CB
176,CB
176,N
176,C
177,CA
178,CA
179,C
180,C
181,C
182,CA
182,CG
183,CG
183,NE1
184,CG
184,NE1
185,CG
185,CE2
185,CE3
186,CG
186,CE2
186,CE3
187,CD1
187,CE2
188,CD1
188,CE2
189,NE1
189,CZ2
189,CD2
190,NE1
190,CZ2
190,CD2
191,CE2
191,CH2
192,CE2
192,CH2
193,CD2
193,CZ3
194,CD2
194,CZ3
195,CE3
195,CH2
196,CE3
196,CH2
197,CZ2
197,CZ3
198,CZ2
198,CZ3
199,CB
199,N
199,C
200,CA
201,CA
202,C
203,C
204,C
205,CA
205,CG
206,CG
206,CE1
207,CG
207,CE1
208,CG
208,CE2
209,CG
209,CE2
210,CD1
210,CZ
211,CD1
211,CZ
212,CD2
212,CZ
213,CD2
213,CZ
214,CE1
214,CE2
215,CE1
215,CE2
216,CB
216,N
216,C
217,CA
218,CA
219,C
220,C
221,C
222,CA
222,CG1
222,CG2
223,CB
224,CB
225,CB
225,N
225,C
226,CA
227,CA
228,C
229,C
230,C
