hydrophobicity_id,atom_id
1,N
1,HN1
1,HN2
2,N
2,HN1
2,HN2
2,HN3
3,C
3,O
3,OXT
3,HXT
4,C
4,O
4,OXT
5,CB
5,HB1
5,HB2
5,HB3
6,NE
6,HE
6,CZ
6,NH1
6,HH11
6,HH12
6,NH2
6,HH21
6,HH22
7,NE
7,HE
7,CZ
7,NH1
7,HH11
7,HH12
7,NH2
7,HH21
7,HH22
8,CD
8,HD1
8,HD2
9,CG
9,HG1
9,HG2
9,CB
9,HB1
9,HB2
10,N
10,HN1
10,HN2
11,C
11,O
11,OXT
11,HXT
12,C
12,O
12,OXT
13,N
13,HN1
13,HN2
13,HN3
14,CG
14,OD1
14,ND2
14,HD21
14,HD22
15,CG
15,OD1
15,ND2
15,HD21
16,C
16,O
16,OXT
16,HXT
17,C
17,O
17,OXT
18,CB
18,HB1
18,HB2
19,N
19,HN1
19,HN2
20,N
20,HN1
20,HN2
20,HN3
21,C
21,O
21,OXT
21,HXT
22,CG
22,OD1
22,OD2
23,CB
23,HB1
23,HB2
24,N
24,HN1
24,HN2
25,N
25,HN1
25,HN2
25,HN3
26,SG
26,HG
27,SG
28,C
28,O
28,OXT
28,HXT
29,C
29,O
29,OXT
30,CB
30,HB1
30,HB2
31,N
31,HN1
31,HN2
32,N
32,HN1
32,HN2
32,HN3
33,CD
33,OE1
33,NE2
33,HE21
33,HE22
34,CG
34,OE1
34,NE2
34,HE21
35,CG
35,HG1
35,HG2
36,CB
36,HB1
36,HB2
37,N
37,HN1
37,HN2
38,C
38,O
38,OXT
38,HXT
39,C
39,O
39,OXT
40,N
40,HN1
40,HN2
40,HN3
41,C
41,O
41,OXT
41,HXT
42,CD
42,OE1
42,OE2
43,CG
43,HG1
43,HG2
44,CB
44,HB1
44,HB2
45,N
45,HN1
45,HN2
46,N
46,HN1
46,HN2
46,HN3
47,N
47,HN1
47,HN2
48,CA
48,HA1
48,HA2
49,C
49,O
49,OXT
49,HXT
50,C
50,O
50,OXT
51,N
51,HN1
51,HN2
51,HN3
52,CG
52,ND1
52,HD1
52,CD2
52,HD2
52,CE1
52,HE1
52,NE2
53,CG
53,ND1
53,HD1
53,CD2
53,HD2
53,CE1
53,HE1
53,NE2
53,HE2
54,CB
54,HB1
54,HB2
55,N
55,HN1
55,HN2
56,C
56,O
56,OXT
56,HXT
57,C
57,O
57,OXT
58,N
58,HN1
58,HN2
58,HN3
59,CD1
59,HD11
59,HD12
59,HD13
59,CG2
59,HG21
59,HG22
59,HG23
60,CG1
60,HG11
60,HG12
61,CB
61,HB
61,CA
61,HA
62,N
62,HN1
62,HN2
63,C
63,O
63,OXT
63,HXT
64,C
64,O
64,OXT
65,N
65,HN1
65,HN2
65,HN3
66,CD1
66,HD11
66,HD12
66,HD13
66,CD2
66,HD21
66,HD22
66,HD23
67,CG
67,HG
67,CA
67,HA
68,CB
68,HB1
68,HB2
69,N
69,HN1
69,HN2
70,C
70,O
70,OXT
70,HXT
71,C
71,O
71,OXT
72,N
72,HN1
72,HN2
72,HN3
73,NZ
73,NZ1
73,NZ2
73,N
73,HN1
73,HN2
74,CE
74,HE1
74,HE2
75,CD
75,HD1
75,HD2
75,CG
75,HG1
75,HG2
75,CB
75,HB1
75,HB2
76,C
76,O
76,OXT
76,HXT
77,C
77,O
77,OXT
78,N
78,HN1
78,HN2
78,HN3
79,CG
79,CD1
79,HD1
79,CD2
79,HD2
79,CE1
79,HE1
79,CE2
79,HE2
79,CZ
79,HZ
80,CB
80,HB1
80,HB2
81,N
81,HN1
81,HN2
82,C
82,O
82,OXT
82,HXT
83,C
83,O
83,OXT
84,N
84,HN1
84,HN2
84,HN3
85,N
85,HN
86,CB
86,HB1
86,HB2
86,CG
86,HG1
86,HG2
86,CD
86,HD1
86,HD2
87,C
87,O
87,OXT
87,HXT
88,C
88,O
88,OXT
89,N
89,HN1
89,HN2
89,HN3
90,OG
90,HG
91,CB
91,HB1
91,HB2
92,N
92,HN1
92,HN2
93,C
93,O
93,OXT
93,HXT
94,C
94,O
94,OXT
95,N
95,HN1
95,HN2
95,HN3
96,CG2
96,HG21
96,HG22
96,HG23
97,CB
97,HB
98,OG1
98,HG1
99,N
99,HN1
99,HN2
100,C
100,O
100,OXT
100,HXT
101,C
101,O
101,OXT
102,N
102,HN1
102,HN2
102,HN3
103,CG
103,CD1
103,HD1
103,CD2
103,NE1
103,HE1
103,CE2
104,CE3
104,HE3
104,CZ2
104,HZ2
104,CZ3
104,HZ3
104,CH2
104,HH2
105,CB
105,HB1
105,HB2
106,N
106,HN1
106,HN2
107,C
107,O
107,OXT
107,HXT
108,C
108,O
108,OXT
109,N
109,HN1
109,HN2
109,HN3
110,OH
110,HH
111,CG
111,CD1
111,HD1
111,CD2
111,HD2
111,CE1
111,HE1
111,CE2
111,HE2
111,CZ
112,CB
112,HB1
112,HB2
113,N
113,HN1
113,HN2
114,C
114,O
114,OXT
114,HXT
115,C
115,O
115,OXT
116,N
116,HN1
116,HN2
116,HN3
117,CG1
117,HG11
117,HG12
117,HG13
118,CG2
118,HG21
118,HG22
118,HG23
119,CB
119,HB
119,CA
119,HA
120,N
120,HN1
120,HN2
121,C
121,O
121,OXT
121,HXT
122,C
122,O
122,OXT
123,N
123,HN1
123,HN2
123,HN3
